module,name,value
LightIoTNetwork.sensor[0],Sensor_Sent,10
LightIoTNetwork.sensor[0],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[1],Sensor_Sent,9
LightIoTNetwork.sensor[1],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[2],Sensor_Sent,9
LightIoTNetwork.sensor[2],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[3],Sensor_Sent,9
LightIoTNetwork.sensor[3],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[4],Sensor_Sent,10
LightIoTNetwork.sensor[4],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[5],Sensor_Sent,9
LightIoTNetwork.sensor[5],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[6],Sensor_Sent,9
LightIoTNetwork.sensor[6],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[7],Sensor_Sent,9
LightIoTNetwork.sensor[7],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[8],Sensor_Sent,10
LightIoTNetwork.sensor[8],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[9],Sensor_Sent,9
LightIoTNetwork.sensor[9],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[10],Sensor_Sent,10
LightIoTNetwork.sensor[10],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[11],Sensor_Sent,10
LightIoTNetwork.sensor[11],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[12],Sensor_Sent,9
LightIoTNetwork.sensor[12],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[13],Sensor_Sent,10
LightIoTNetwork.sensor[13],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[14],Sensor_Sent,9
LightIoTNetwork.sensor[14],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[15],Sensor_Sent,10
LightIoTNetwork.sensor[15],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[16],Sensor_Sent,9
LightIoTNetwork.sensor[16],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[17],Sensor_Sent,10
LightIoTNetwork.sensor[17],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[18],Sensor_Sent,9
LightIoTNetwork.sensor[18],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[19],Sensor_Sent,9
LightIoTNetwork.sensor[19],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.gateway,GW_Received,188
LightIoTNetwork.gateway,GW_Forwarded,188
LightIoTNetwork.gateway,GW_Dropped,0
LightIoTNetwork.gateway,GW_BatteryRemaining_mJ,3120
LightIoTNetwork.gateway,GW_SecurityEnabled,1
LightIoTNetwork.gateway,GW_ProcDelay_s,0.001
LightIoTNetwork.gateway,GW_HmacWindow_s,1
LightIoTNetwork.cloud,Cloud_TotalReceived,188
LightIoTNetwork.cloud,Cloud_AvgEndToEndDelay_s,0.001
LightIoTNetwork.cloud,Cloud_StdDevEndToEndDelay_s,0
LightIoTNetwork.cloud,Cloud_MinDelay_s,0.001
LightIoTNetwork.cloud,Cloud_MaxDelay_s,0.001
LightIoTNetwork.fakeNode,Fake_AttacksSent,0
LightIoTNetwork.fakeNode,Fake_Mode,1
LightIoTNetwork.fakeNode,Fake_Interval_s,2.5
