run,type,module,name,attrname,attrvalue,vectime,vecvalue
Attack20_record-0-20250915-22:43:51-99450,runattr,,,configname,Attack20_record,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,datetime,20250915-22:43:51,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,datetimef,20250915-224351,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,experiment,Attack20_record,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,inifile,run_record.ini,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,iterationvars,,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,iterationvarsd,,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,iterationvarsf,,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,measurement,,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,network,ned.LightIoTNetwork,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,processid,99450,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,repetition,0,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,replication,#0,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,resultdir,results,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,runnumber,0,,
Attack20_record-0-20250915-22:43:51-99450,runattr,,,seedset,104,,
Attack20_record-0-20250915-22:43:51-99450,config,,,**.result-recording-modes,all,,
Attack20_record-0-20250915-22:43:51-99450,config,,,**.scalar-recording,true,,
Attack20_record-0-20250915-22:43:51-99450,config,,,**.vector-recording,true,,
Attack20_record-0-20250915-22:43:51-99450,config,,,output-scalar-file,results/delay/Attack20_record_s104.sca,,
Attack20_record-0-20250915-22:43:51-99450,config,,,output-vector-file,results/delay/Attack20_record_s104.vec,,
Attack20_record-0-20250915-22:43:51-99450,config,,,record-eventlog,false,,
Attack20_record-0-20250915-22:43:51-99450,config,,,seed-set,104,,
Attack20_record-0-20250915-22:43:51-99450,config,,,network,ned.LightIoTNetwork,,
Attack20_record-0-20250915-22:43:51-99450,config,,,LightIoTNetwork.numSensorNodes,20,,
Attack20_record-0-20250915-22:43:51-99450,config,,,**.sensor[*].mode,"""Secure""",,
Attack20_record-0-20250915-22:43:51-99450,config,,,**.fakeNode.enabled,true,,
Attack20_record-0-20250915-22:43:51-99450,config,,,**.fakeNode.validMac,true,,
Attack20_record-0-20250915-22:43:51-99450,config,,,**.gateway.securityEnabled,true,,
Attack20_record-0-20250915-22:43:51-99450,config,,,**.gateway.hmacWindow,1s,,
