run,type,module,name,attrname,attrvalue,vectime,vecvalue
Secure5_record-0-20250915-22:43:50-99405,runattr,,,configname,Secure5_record,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,datetime,20250915-22:43:50,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,datetimef,20250915-224350,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,experiment,Secure5_record,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,inifile,run_record.ini,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,iterationvars,,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,iterationvarsd,,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,iterationvarsf,,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,measurement,,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,network,ned.LightIoTNetwork,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,processid,99405,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,repetition,0,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,replication,#0,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,resultdir,results,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,runnumber,0,,
Secure5_record-0-20250915-22:43:50-99405,runattr,,,seedset,102,,
Secure5_record-0-20250915-22:43:50-99405,config,,,**.result-recording-modes,all,,
Secure5_record-0-20250915-22:43:50-99405,config,,,**.scalar-recording,true,,
Secure5_record-0-20250915-22:43:50-99405,config,,,**.vector-recording,true,,
Secure5_record-0-20250915-22:43:50-99405,config,,,output-scalar-file,results/delay/Secure5_record_s102.sca,,
Secure5_record-0-20250915-22:43:50-99405,config,,,output-vector-file,results/delay/Secure5_record_s102.vec,,
Secure5_record-0-20250915-22:43:50-99405,config,,,record-eventlog,false,,
Secure5_record-0-20250915-22:43:50-99405,config,,,seed-set,102,,
Secure5_record-0-20250915-22:43:50-99405,config,,,network,ned.LightIoTNetwork,,
Secure5_record-0-20250915-22:43:50-99405,config,,,LightIoTNetwork.numSensorNodes,5,,
Secure5_record-0-20250915-22:43:50-99405,config,,,**.fakeNode.enabled,false,,
Secure5_record-0-20250915-22:43:50-99405,config,,,**.sensor[*].mode,"""Secure""",,
Secure5_record-0-20250915-22:43:50-99405,config,,,**.gateway.securityEnabled,true,,
