run,repetition,module,name,value,filebase
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,totalAccepted,94,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,totalDroppedHmac,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,totalDroppedReplay,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,totalDroppedDup,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,goodput,9.4,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,bloomFP,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,bloomCallsPerK,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,bloomQueriesTotal,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,bloomInsertsTotal,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,energyGW_mJ,470,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,energyPerMsg_mJ,5,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,workAvg_units,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,workH_count,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,workF_count,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,workB_count,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,stageOrderId,1,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.gateway,mismatchCounter,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.cloud,Cloud_TotalReceived,94,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.cloud,Cloud_AvgDelay_s,-2.3214893617021e-08,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.fakeNode,Fake_AttacksSent,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.fakeNode,Fake_ValidReplaysSent,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.fakeNode,Fake_DupMsgsSent,0,NoSec5_record_s103
NoSec5_record-0-20250915-22:43:50-99412,0,LightIoTNetwork.fakeNode,Fake_Bursts,0,NoSec5_record_s103
run,repetition,module,name,value,filebase
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,totalAccepted,94,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,totalDroppedHmac,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,totalDroppedReplay,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,totalDroppedDup,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,goodput,9.4,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,bloomFP,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,bloomCallsPerK,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,bloomQueriesTotal,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,bloomInsertsTotal,0,NoSec5_record_s102
