run,type,module,name,attrname,attrvalue,value
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,configname,Attack20_bloom,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,datetime,20250912-21:40:14,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,datetimef,20250912-214014,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,experiment,Attack20_bloom,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,inifile,run_record.ini,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,iterationvars,,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,iterationvarsd,,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,iterationvarsf,,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,measurement,,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,network,ned.LightIoTNetwork,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,processid,7300,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,repetition,0,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,replication,#0,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,resultdir,results,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,runnumber,0,
Attack20_bloom-0-20250912-21:40:14-7300,runattr,,,seedset,123,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.result-recording-modes,all,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.scalar-recording,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.vector-recording,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,output-scalar-file,results/Attack20_bloom-0.sca,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,output-vector-file,results/Attack20_bloom-0.vec,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,record-eventlog,false,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,extends,Attack20_record,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.duplicateMethod,"""bloom""",
Attack20_bloom-0-20250912-21:40:14-7300,config,,,network,ned.LightIoTNetwork,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,LightIoTNetwork.numSensorNodes,20,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.sensor[*].mode,"""Secure""",
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.enabled,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.validMac,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.securityEnabled,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.hmacWindow,1s,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack20_bloom-0-20250912-21:40:14-7300,config,,,network,ned.LightIoTNetwork,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,ned-path,.,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,sim-time-limit,10s,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,record-eventlog,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,cmdenv-express-mode,false,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,network,ned.LightIoTNetwork,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,sim-time-limit,10s,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,output-scalar-file,results/secure_output.sca,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,output-vector-file,results/secure_output.vec,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,network,LightIoTNetwork,
