module,name,value
LightIoTNetwork.sensor[0],Sensor_Sent,10
LightIoTNetwork.sensor[0],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[1],Sensor_Sent,9
LightIoTNetwork.sensor[1],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[2],Sensor_Sent,9
LightIoTNetwork.sensor[2],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[3],Sensor_Sent,9
LightIoTNetwork.sensor[3],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[4],Sensor_Sent,9
LightIoTNetwork.sensor[4],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[5],Sensor_Sent,9
LightIoTNetwork.sensor[5],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[6],Sensor_Sent,9
LightIoTNetwork.sensor[6],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[7],Sensor_Sent,9
LightIoTNetwork.sensor[7],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[8],Sensor_Sent,10
LightIoTNetwork.sensor[8],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[9],Sensor_Sent,9
LightIoTNetwork.sensor[9],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[10],Sensor_Sent,9
LightIoTNetwork.sensor[10],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[11],Sensor_Sent,10
LightIoTNetwork.sensor[11],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[12],Sensor_Sent,9
LightIoTNetwork.sensor[12],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[13],Sensor_Sent,10
LightIoTNetwork.sensor[13],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[14],Sensor_Sent,9
LightIoTNetwork.sensor[14],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[15],Sensor_Sent,10
LightIoTNetwork.sensor[15],Sensor_BatteryRemaining_mJ,4800
LightIoTNetwork.sensor[16],Sensor_Sent,9
