time,value
3,1.049813502304
6,1.093844616389
9,1.103763370378
12,1.216189364972
15,1.34526574409
18,2.058790137781
21,2.088494329736
24,2.16329496384
27,2.240902104251
30,2.374444567108
35,3.035666479426
38,3.076011771731
41,3.122801884891
44,3.285787162253
47,3.319256704602
50,4.030543030634
53,4.099490189155
56,4.128399032238
59,4.281320184584
62,4.377601711288
65,5.092976775927
68,5.105269173461
71,5.124394466518
74,5.294929097335
77,5.356158669921
82,6.03860167826
85,6.172484927227
88,6.178096102573
91,6.262408329661
94,6.273584529315
97,7.068236053571
100,7.076528607051
103,7.151744410045
106,7.328932298229
109,7.365015560179
114,8.004598762536
117,8.123867404949
120,8.225746839096
123,8.402949748442
126,8.460739228758
129,8.99932037054
132,9.183699117716
135,9.285928989596
138,9.395245621002
141,9.464834724856
