run,type,module,name,attrname,attrvalue,vectime,vecvalue
Attack5_record-0-20250829-00:22:27-35785,runattr,,,configname,Attack5_record,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,datetime,20250829-00:22:27,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,datetimef,20250829-002227,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,experiment,Attack5_record,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,inifile,run_record.ini,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,iterationvars,,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,iterationvarsd,,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,iterationvarsf,,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,measurement,,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,network,ned.LightIoTNetwork,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,processid,35785,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,repetition,0,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,replication,#0,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,resultdir,results,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,runnumber,0,,
Attack5_record-0-20250829-00:22:27-35785,runattr,,,seedset,123,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-scalar-file,results/Attack5_record-NEW.sca,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-vector-file,results/Attack5_record-NEW.vec,,
Attack5_record-0-20250829-00:22:27-35785,config,,,network,ned.LightIoTNetwork,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-scalar-file,results/Attack5_record-0.sca,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-vector-file,results/Attack5_record-0.vec,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.scalar-recording,true,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.vector-recording,true,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.result-recording-modes,all,,
Attack5_record-0-20250829-00:22:27-35785,config,,,LightIoTNetwork.numSensorNodes,5,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.fakeNode.enabled,true,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.fakeNode.attackMode,1,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.fakeNode.replayInterval,2.5s,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.gateway.securityEnabled,true,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.gateway.hmacWindow,1s,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.gateway.procDelay,1ms,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.gateway.costForward_mJ,5,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.gateway.costVerify_mJ,5,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.gateway.batteryInit_mJ,5000,,
Attack5_record-0-20250829-00:22:27-35785,config,,,sim-time-limit,10s,,
Attack5_record-0-20250829-00:22:27-35785,config,,,description,Secure Mode Simulation (includes all scenarios),,
Attack5_record-0-20250829-00:22:27-35785,config,,,network,ned.LightIoTNetwork,,
Attack5_record-0-20250829-00:22:27-35785,config,,,ned-path,.,,
Attack5_record-0-20250829-00:22:27-35785,config,,,sim-time-limit,10s,,
Attack5_record-0-20250829-00:22:27-35785,config,,,record-eventlog,true,,
Attack5_record-0-20250829-00:22:27-35785,config,,,cmdenv-express-mode,false,,
Attack5_record-0-20250829-00:22:27-35785,config,,,network,ned.LightIoTNetwork,,
Attack5_record-0-20250829-00:22:27-35785,config,,,sim-time-limit,10s,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-scalar-file,results/secure_output.sca,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-vector-file,results/secure_output.vec,,
Attack5_record-0-20250829-00:22:27-35785,config,,,network,LightIoTNetwork,,
Attack5_record-0-20250829-00:22:27-35785,config,,,sim-time-limit,10s,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-scalar-file,results/nosecure_output.sca,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-vector-file,results/nosecure_output.vec,,
Attack5_record-0-20250829-00:22:27-35785,config,,,network,LightIoTNetwork,,
Attack5_record-0-20250829-00:22:27-35785,config,,,sim-time-limit,10s,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-scalar-file,results/attack_output.sca,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-vector-file,results/attack_output.vec,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-scalar-file,results/Attack5_record-0.sca,,
Attack5_record-0-20250829-00:22:27-35785,config,,,output-vector-file,results/Attack5_record-0.vec,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.scalar-recording,true,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.vector-recording,true,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.statistic-recording,true,,
Attack5_record-0-20250829-00:22:27-35785,config,,,**.result-recording-modes,all,,
Attack5_record-0-20250829-00:22:27-35785,config,,,rng-class,cMersenneTwister,,
Attack5_record-0-20250829-00:22:27-35785,config,,,num-rngs,1,,
Attack5_record-0-20250829-00:22:27-35785,config,,,seed-set,123,,
