module,name,value
LightIoTNetwork.sensor[0],Sensor_Sent,9
LightIoTNetwork.sensor[0],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[1],Sensor_Sent,9
LightIoTNetwork.sensor[1],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[2],Sensor_Sent,9
LightIoTNetwork.sensor[2],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[3],Sensor_Sent,9
LightIoTNetwork.sensor[3],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.sensor[4],Sensor_Sent,9
LightIoTNetwork.sensor[4],Sensor_BatteryRemaining_mJ,4820
LightIoTNetwork.gateway,GW_Received,45
LightIoTNetwork.gateway,GW_Forwarded,45
LightIoTNetwork.gateway,GW_Dropped,0
LightIoTNetwork.gateway,GW_BatteryRemaining_mJ,4550
LightIoTNetwork.gateway,GW_SecurityEnabled,1
LightIoTNetwork.gateway,GW_ProcDelay_s,0.001
LightIoTNetwork.gateway,GW_HmacWindow_s,1
LightIoTNetwork.cloud,Cloud_TotalReceived,45
LightIoTNetwork.cloud,Cloud_AvgEndToEndDelay_s,0.001
LightIoTNetwork.cloud,Cloud_StdDevEndToEndDelay_s,0
LightIoTNetwork.cloud,Cloud_MinDelay_s,0.001
LightIoTNetwork.cloud,Cloud_MaxDelay_s,0.001
LightIoTNetwork.fakeNode,Fake_AttacksSent,0
LightIoTNetwork.fakeNode,Fake_Mode,1
LightIoTNetwork.fakeNode,Fake_Interval_s,2.5
