File,Nodes,Mode,Cloud_Received,Gateway_Received,Gateway_Forwarded,Gateway_Dropped,Gateway_Energy_mJ,Avg_Delay_s
Attack50.log,0,NoSec,0,0,0,0,0,0
Attack50_replay_NoSec.log,50,NoSec,469,471,469,2,310,0.00426439
Attack50_replay_Secure.log,50,Secure,469,471,469,2,310,0.00426439
NoSec_20.log,20,NoSec,192,192,192,0,4040,0.03125
NoSec_5.log,5,NoSec,48,48,48,0,4760,0.125
NoSec_50.log,50,NoSec,471,471,471,0,2645,0.0127389
NoSecurity50.log,50,NoSec,471,471,471,0,2645,0.0127389
NoSecurity50_standalone.log,50,NoSec,468,471,468,3,320,0
ReplayAttackOnSecure50.log,50,Secure,468,471,468,3,305,0.001
Secure50.log,50,Secure,468,471,468,3,305,0.001
Secure50_standalone.log,50,Secure,468,471,468,3,320,0
Secure_20.log,20,Secure,189,192,189,3,3095,0.001
Secure_5.log,5,Secure,45,48,45,3,4535,0.001
Secure_50.log,50,Secure,468,471,468,3,305,0.001
secure_max_50.log,50,Secure,468,471,468,3,320,0
