run,type,module,name,attrname,attrvalue,vectime,vecvalue
Attack20_record-0-20250829-01:43:58-80151,runattr,,,configname,Attack20_record,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,datetime,20250829-01:43:58,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,datetimef,20250829-014358,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,experiment,Attack20_record,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,inifile,run_record.ini,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,iterationvars,,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,iterationvarsd,,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,iterationvarsf,,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,measurement,,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,network,ned.LightIoTNetwork,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,processid,80151,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,repetition,0,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,replication,#0,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,resultdir,results,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,runnumber,0,,
Attack20_record-0-20250829-01:43:58-80151,runattr,,,seedset,0,,
Attack20_record-0-20250829-01:43:58-80151,config,,,output-scalar-file,results/Attack20_record-rep0.sca,,
Attack20_record-0-20250829-01:43:58-80151,config,,,output-vector-file,results/Attack20_record-rep0.vec,,
Attack20_record-0-20250829-01:43:58-80151,config,,,seed-set,0,,
Attack20_record-0-20250829-01:43:58-80151,config,,,network,ned.LightIoTNetwork,,
Attack20_record-0-20250829-01:43:58-80151,config,,,output-scalar-file,results/Attack20_record-0.sca,,
Attack20_record-0-20250829-01:43:58-80151,config,,,output-vector-file,results/Attack20_record-0.vec,,
Attack20_record-0-20250829-01:43:58-80151,config,,,**.scalar-recording,true,,
Attack20_record-0-20250829-01:43:58-80151,config,,,**.vector-recording,true,,
Attack20_record-0-20250829-01:43:58-80151,config,,,**.result-recording-modes,all,,
Attack20_record-0-20250829-01:43:58-80151,config,,,LightIoTNetwork.numSensorNodes,20,,
Attack20_record-0-20250829-01:43:58-80151,config,,,**.fakeNode.enabled,true,,
Attack20_record-0-20250829-01:43:58-80151,config,,,**.fakeNode.attackMode,1,,
Attack20_record-0-20250829-01:43:58-80151,config,,,**.fakeNode.replayInterval,2.5s,,
Attack20_record-0-20250829-01:43:58-80151,config,,,**.gateway.securityEnabled,true,,
Attack20_record-0-20250829-01:43:58-80151,config,,,**.gateway.hmacWindow,1s,,
Attack20_record-0-20250829-01:43:58-80151,config,,,**.gateway.procDelay,1ms,,
