run,type,module,name,attrname,attrvalue,value
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,configname,Attack50_bloom,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,datetime,20250914-02:28:30,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,datetimef,20250914-022830,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,experiment,Attack50_bloom,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,inifile,run_record.ini,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,iterationvars,,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,iterationvarsd,,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,iterationvarsf,,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,measurement,,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,processid,94739,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,repetition,0,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,replication,#0,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,resultdir,results,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,runnumber,0,
Attack50_bloom-0-20250914-02:28:30-94739,runattr,,,seedset,123,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.batteryInit_mJ,20000000,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.stageOrder,"""BFH""",
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.stageOrderId,6,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-scalar-file,results/perms_Attack50_bloom_BFH.sca,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-vector-file,results/perms_Attack50_bloom_BFH.vec,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,record-eventlog,false,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,extends,Attack50_record,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.duplicateMethod,"""bloom""",
Attack50_bloom-0-20250914-02:28:30-94739,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,LightIoTNetwork.numSensorNodes,50,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.enabled,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.validMac,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.hmacWindow,3s,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack50_bloom-0-20250914-02:28:30-94739,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,ned-path,.,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,record-eventlog,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,cmdenv-express-mode,false,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-scalar-file,results/secure_output.sca,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-vector-file,results/secure_output.vec,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-scalar-file,results/nosecure_output.sca,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-vector-file,results/nosecure_output.vec,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-scalar-file,results/attack_output.sca,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-vector-file,results/attack_output.vec,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-scalar-file,results/Attack50_bloom-0.sca,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-vector-file,results/Attack50_bloom-0.vec,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.statistic-recording,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,rng-class,cMersenneTwister,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,num-rngs,1,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,seed-set,123,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-scalar-file,results/Attack50_bloom-0.sca,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,output-vector-file,results/Attack50_bloom-0.vec,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.sensor[*].sendInterval,0.5s,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.procDelay,1ms,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.hmacWindow,1s,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.costForward_mJ,5,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.costVerify_mJ,5,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.batteryInit_mJ,5000,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.checkHmac,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.checkFreshness,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.checkDuplicate,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.duplicateMethod,"""set""",
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.bloomBits,16384,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.bloomHashes,3,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.sbfBits,16384,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.sbfHashes,3,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.gateway.sbfDecay,0.02,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.enabled,false,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.attackMode,1,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.replayInterval,2.5s,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.validMac,true,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.replayId,100000,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.replayTsUs,500000,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.dupBurstLen,4,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.dupBurstGap,200ms,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,**.fakeNode.outOfOrderJitter,80ms,
Attack50_bloom-0-20250914-02:28:30-94739,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,configname,Attack50_bloom,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,datetime,20250914-02:28:30,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,datetimef,20250914-022830,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,experiment,Attack50_bloom,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,inifile,run_record.ini,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,iterationvars,,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,iterationvarsd,,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,iterationvarsf,,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,measurement,,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,processid,94738,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,repetition,0,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,replication,#0,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,resultdir,results,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,runnumber,0,
Attack50_bloom-0-20250914-02:28:30-94738,runattr,,,seedset,123,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.gateway.batteryInit_mJ,20000000,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.gateway.stageOrder,"""BHF""",
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.gateway.stageOrderId,5,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,output-scalar-file,results/perms_Attack50_bloom_BHF.sca,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,output-vector-file,results/perms_Attack50_bloom_BHF.vec,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,record-eventlog,false,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,extends,Attack50_record,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.gateway.duplicateMethod,"""bloom""",
Attack50_bloom-0-20250914-02:28:30-94738,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,LightIoTNetwork.numSensorNodes,50,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.fakeNode.enabled,true,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.fakeNode.validMac,true,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,**.gateway.hmacWindow,3s,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack50_bloom-0-20250914-02:28:30-94738,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,ned-path,.,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,record-eventlog,true,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,cmdenv-express-mode,false,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,output-scalar-file,results/secure_output.sca,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,output-vector-file,results/secure_output.vec,
Attack50_bloom-0-20250914-02:28:30-94738,config,,,network,LightIoTNetwork,
