run,type,module,name,attrname,attrvalue,value
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,configname,Attack50_bloom,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,datetime,20250914-01:27:57,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,datetimef,20250914-012757,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,experiment,Attack50_bloom,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,inifile,run_record.ini,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,iterationvars,,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,iterationvarsd,,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,iterationvarsf,,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,measurement,,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,processid,67862,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,repetition,0,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,replication,#0,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,resultdir,results,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,runnumber,0,
Attack50_bloom-0-20250914-01:27:57-67862,runattr,,,seedset,123,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.batteryInit_mJ,10000,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.stageOrder,"""BFH""",
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-scalar-file,results/perms_attack50/BFH.sca,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-vector-file,results/perms_attack50/BFH.vec,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,record-eventlog,false,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,extends,Attack50_record,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.duplicateMethod,"""bloom""",
Attack50_bloom-0-20250914-01:27:57-67862,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,LightIoTNetwork.numSensorNodes,50,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.enabled,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.validMac,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.hmacWindow,3s,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack50_bloom-0-20250914-01:27:57-67862,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,ned-path,.,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,record-eventlog,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,cmdenv-express-mode,false,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-scalar-file,results/secure_output.sca,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-vector-file,results/secure_output.vec,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-scalar-file,results/nosecure_output.sca,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-vector-file,results/nosecure_output.vec,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-scalar-file,results/attack_output.sca,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-vector-file,results/attack_output.vec,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-scalar-file,results/Attack50_bloom-0.sca,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-vector-file,results/Attack50_bloom-0.vec,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.statistic-recording,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,rng-class,cMersenneTwister,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,num-rngs,1,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,seed-set,123,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-scalar-file,results/Attack50_bloom-0.sca,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,output-vector-file,results/Attack50_bloom-0.vec,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.sensor[*].sendInterval,0.5s,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.procDelay,1ms,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.hmacWindow,1s,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.costForward_mJ,5,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.costVerify_mJ,5,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.batteryInit_mJ,5000,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.checkHmac,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.checkFreshness,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.checkDuplicate,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.duplicateMethod,"""set""",
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.bloomBits,16384,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.bloomHashes,3,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.sbfBits,16384,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.sbfHashes,3,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.gateway.sbfDecay,0.02,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.enabled,false,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.attackMode,1,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.replayInterval,2.5s,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.validMac,true,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.replayId,100000,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.replayTsUs,500000,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.dupBurstLen,4,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.dupBurstGap,200ms,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,**.fakeNode.outOfOrderJitter,80ms,
Attack50_bloom-0-20250914-01:27:57-67862,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,configname,Attack50_bloom,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,datetime,20250914-01:27:57,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,datetimef,20250914-012757,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,experiment,Attack50_bloom,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,inifile,run_record.ini,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,iterationvars,,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,iterationvarsd,,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,iterationvarsf,,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,measurement,,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,processid,67861,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,repetition,0,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,replication,#0,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,resultdir,results,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,runnumber,0,
Attack50_bloom-0-20250914-01:27:57-67861,runattr,,,seedset,123,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.gateway.batteryInit_mJ,10000,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.gateway.stageOrder,"""BHF""",
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-scalar-file,results/perms_attack50/BHF.sca,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-vector-file,results/perms_attack50/BHF.vec,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,record-eventlog,false,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,extends,Attack50_record,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.gateway.duplicateMethod,"""bloom""",
Attack50_bloom-0-20250914-01:27:57-67861,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,LightIoTNetwork.numSensorNodes,50,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.fakeNode.enabled,true,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.fakeNode.validMac,true,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.gateway.hmacWindow,3s,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack50_bloom-0-20250914-01:27:57-67861,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,ned-path,.,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,record-eventlog,true,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,cmdenv-express-mode,false,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-scalar-file,results/secure_output.sca,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-vector-file,results/secure_output.vec,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-scalar-file,results/nosecure_output.sca,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-vector-file,results/nosecure_output.vec,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-scalar-file,results/attack_output.sca,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-vector-file,results/attack_output.vec,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-scalar-file,results/Attack50_bloom-0.sca,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,output-vector-file,results/Attack50_bloom-0.vec,
Attack50_bloom-0-20250914-01:27:57-67861,config,,,**.scalar-recording,true,
