run,type,module,name,attrname,attrvalue,value
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,configname,Attack50_bloom,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,datetime,20250914-02:02:45,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,datetimef,20250914-020245,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,experiment,Attack50_bloom,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,inifile,run_record.ini,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,iterationvars,,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,iterationvarsd,,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,iterationvarsf,,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,measurement,,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,processid,82760,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,repetition,0,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,replication,#0,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,resultdir,results,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,runnumber,0,
Attack50_bloom-0-20250914-02:02:45-82760,runattr,,,seedset,123,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.batteryInit_mJ,10000,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.stageOrder,"""$ord""",
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-scalar-file,results/perms_Attack50_bloom_BFH.sca,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-vector-file,results/perms_Attack50_bloom_BFH.vec,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,record-eventlog,false,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,extends,Attack50_record,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.duplicateMethod,"""bloom""",
Attack50_bloom-0-20250914-02:02:45-82760,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,LightIoTNetwork.numSensorNodes,50,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.enabled,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.validMac,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.hmacWindow,3s,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack50_bloom-0-20250914-02:02:45-82760,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,ned-path,.,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,record-eventlog,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,cmdenv-express-mode,false,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-scalar-file,results/secure_output.sca,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-vector-file,results/secure_output.vec,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-scalar-file,results/nosecure_output.sca,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-vector-file,results/nosecure_output.vec,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-scalar-file,results/attack_output.sca,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-vector-file,results/attack_output.vec,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-scalar-file,results/Attack50_bloom-0.sca,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-vector-file,results/Attack50_bloom-0.vec,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.statistic-recording,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,rng-class,cMersenneTwister,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,num-rngs,1,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,seed-set,123,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-scalar-file,results/Attack50_bloom-0.sca,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,output-vector-file,results/Attack50_bloom-0.vec,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.sensor[*].sendInterval,0.5s,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.procDelay,1ms,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.hmacWindow,1s,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.costForward_mJ,5,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.costVerify_mJ,5,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.batteryInit_mJ,5000,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.checkHmac,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.checkFreshness,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.checkDuplicate,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.duplicateMethod,"""set""",
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.bloomBits,16384,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.bloomHashes,3,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.sbfBits,16384,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.sbfHashes,3,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.gateway.sbfDecay,0.02,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.enabled,false,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.attackMode,1,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.replayInterval,2.5s,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.validMac,true,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.replayId,100000,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.replayTsUs,500000,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.dupBurstLen,4,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.dupBurstGap,200ms,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,**.fakeNode.outOfOrderJitter,80ms,
Attack50_bloom-0-20250914-02:02:45-82760,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,configname,Attack50_bloom,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,datetime,20250914-02:02:45,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,datetimef,20250914-020245,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,experiment,Attack50_bloom,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,inifile,run_record.ini,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,iterationvars,,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,iterationvarsd,,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,iterationvarsf,,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,measurement,,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,processid,82759,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,repetition,0,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,replication,#0,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,resultdir,results,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,runnumber,0,
Attack50_bloom-0-20250914-02:02:45-82759,runattr,,,seedset,123,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.batteryInit_mJ,10000,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.stageOrder,"""$ord""",
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.result-recording-modes,all,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-scalar-file,results/perms_Attack50_bloom_BHF.sca,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-vector-file,results/perms_Attack50_bloom_BHF.vec,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,record-eventlog,false,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,extends,Attack50_record,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.duplicateMethod,"""bloom""",
Attack50_bloom-0-20250914-02:02:45-82759,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,LightIoTNetwork.numSensorNodes,50,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.sensor[*].mode,"""Secure""",
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.fakeNode.enabled,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.fakeNode.validMac,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.securityEnabled,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.hmacWindow,3s,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,description,Secure Mode Simulation (includes all scenarios),
