run,type,module,name,attrname,attrvalue,value
Attack50_bloom-0-20250914-01:34:24-70645,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,495
Attack50_bloom-0-20250914-01:34:24-70645,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.0047139561757697
Attack50_bloom-0-20250914-01:34:24-70644,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,495
Attack50_bloom-0-20250914-01:34:24-70644,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.0047139561757697
Attack50_bloom-0-20250914-01:34:24-70643,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,495
Attack50_bloom-0-20250914-01:34:24-70643,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.0047139561757697
Attack50_bloom-0-20250914-01:34:24-70639,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,495
Attack50_bloom-0-20250914-01:34:24-70639,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.0047139561757697
Attack50_bloom-0-20250914-01:34:24-70637,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,495
Attack50_bloom-0-20250914-01:34:24-70637,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.0047139561757697
Attack50_bloom-0-20250914-01:34:24-70636,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,495
Attack50_bloom-0-20250914-01:34:24-70636,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.0047139561757697
Secure50_bloom-0-20250914-01:34:24-70635,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,500
Secure50_bloom-0-20250914-01:34:24-70635,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.000999995597726
Secure50_bloom-0-20250914-01:34:24-70634,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,500
Secure50_bloom-0-20250914-01:34:24-70634,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.000999995597726
Secure50_bloom-0-20250914-01:34:24-70633,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,500
Secure50_bloom-0-20250914-01:34:24-70633,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.000999995597726
Secure50_bloom-0-20250914-01:34:24-70632,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,500
Secure50_bloom-0-20250914-01:34:24-70632,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.000999995597726
Secure50_bloom-0-20250914-01:34:24-70631,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,500
Secure50_bloom-0-20250914-01:34:24-70631,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.000999995597726
Secure50_bloom-0-20250914-01:34:24-70630,scalar,LightIoTNetwork.cloud,Cloud_TotalReceived,,,500
Secure50_bloom-0-20250914-01:34:24-70630,scalar,LightIoTNetwork.cloud,Cloud_AvgDelay_s,,,0.000999995597726
