run,type,module,name,attrname,attrvalue,value
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,configname,Secure50_bloom,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,datetime,20250914-01:27:43,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,datetimef,20250914-012743,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,experiment,Secure50_bloom,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,inifile,run_record.ini,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,iterationvars,,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,iterationvarsd,,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,iterationvarsf,,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,measurement,,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,processid,67756,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,repetition,0,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,replication,#0,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,resultdir,results,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,runnumber,0,
Secure50_bloom-0-20250914-01:27:43-67756,runattr,,,seedset,123,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.batteryInit_mJ,10000,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.stageOrder,"""BHF""",
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.result-recording-modes,all,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-scalar-file,results/perms_secure50/BHF.sca,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-vector-file,results/perms_secure50/BHF.vec,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,record-eventlog,false,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,extends,Secure50_record,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.duplicateMethod,"""bloom""",
Secure50_bloom-0-20250914-01:27:43-67756,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,LightIoTNetwork.numSensorNodes,50,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.enabled,false,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.sensor[*].mode,"""Secure""",
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.securityEnabled,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,description,Secure Mode Simulation (includes all scenarios),
Secure50_bloom-0-20250914-01:27:43-67756,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,ned-path,.,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,record-eventlog,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,cmdenv-express-mode,false,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-scalar-file,results/secure_output.sca,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-vector-file,results/secure_output.vec,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,network,LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-scalar-file,results/nosecure_output.sca,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-vector-file,results/nosecure_output.vec,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,network,LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-scalar-file,results/attack_output.sca,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-vector-file,results/attack_output.vec,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-scalar-file,results/Secure50_bloom-0.sca,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-vector-file,results/Secure50_bloom-0.vec,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.statistic-recording,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.result-recording-modes,all,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,rng-class,cMersenneTwister,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,num-rngs,1,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,seed-set,123,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-scalar-file,results/Secure50_bloom-0.sca,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,output-vector-file,results/Secure50_bloom-0.vec,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.result-recording-modes,all,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.sensor[*].sendInterval,0.5s,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.sensor[*].mode,"""Secure""",
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.procDelay,1ms,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.hmacWindow,1s,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.costForward_mJ,5,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.costVerify_mJ,5,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.batteryInit_mJ,5000,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.securityEnabled,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.checkHmac,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.checkFreshness,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.checkDuplicate,true,
