config,scenario,N,GW_Received,GW_Forwarded,GW_Dropped,GW_Dropped_HMAC,GW_Dropped_Stale,GW_Dropped_Duplicate,GW_BatteryRemaining_mJ,Cloud_TotalReceived,Cloud_AvgDelay_s,Fake_AttacksSent,energyGW_mJ,energyPerMsg_mJ,goodput_msgs_per_s
Attack20_bloom,Attack,,193.0,189.0,4.0,4.0,4.0,4.0,3090.0,189.0,0.001000030939619,4.0,1910.0,10.10582,18.9
Attack20_record,Attack,,193.0,189.0,4.0,4.0,4.0,4.0,3090.0,189.0,0.001000030939619,4.0,1910.0,10.10582,18.9
Attack20_sbf,Attack,,193.0,189.0,4.0,4.0,4.0,4.0,3090.0,189.0,0.001000030939619,4.0,1910.0,10.10582,18.9
Attack50_bloom,Attack,,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_record,Attack,,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_sbf,Attack,,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_window05s_record,Attack,,479.0,475.0,4.0,4.0,4.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_window1s_record,Attack,,479.0,475.0,4.0,4.0,4.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_window3s_record,Attack,,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_window5s_record,Attack,,479.0,475.0,4.0,4.0,2.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack5_bloom,Attack,,51.0,48.0,3.0,3.0,3.0,3.0,4505.0,48.0,0.0010000394555833,3.0,495.0,10.3125,4.8
Attack5_record,Attack,,51.0,48.0,3.0,3.0,3.0,3.0,4505.0,48.0,0.0010000394555833,3.0,495.0,10.3125,4.8
Attack5_sbf,Attack,,51.0,48.0,3.0,3.0,3.0,3.0,4505.0,48.0,0.0010000394555833,3.0,495.0,10.3125,4.8
AttackOnNoSec20_record,NoSec,,193.0,193.0,0.0,0.0,0.0,0.0,4035.0,193.0,0.11592081816858,4.0,965.0,5.0,19.3
AttackOnNoSec50_record,NoSec,,479.0,479.0,0.0,0.0,0.0,0.0,2605.0,479.0,0.046538288726754,4.0,2395.0,5.0,47.9
AttackOnNoSec5_record,NoSec,,51.0,51.0,0.0,0.0,0.0,0.0,4745.0,51.0,0.27593444015731,3.0,255.0,5.0,5.1
N20_Attack,Attack,20,193.0,189.0,4.0,4.0,4.0,4.0,3090.0,189.0,0.001000030939619,4.0,1910.0,10.10582,18.9
N20_NoSec,NoSec,20,189.0,189.0,0.0,0.0,0.0,0.0,4055.0,189.0,1.1529423280423e-08,0.0,945.0,5.0,18.9
N20_Secure,Secure,20,189.0,189.0,0.0,0.0,0.0,0.0,3110.0,189.0,0.0010000115294233,0.0,1890.0,10.0,18.9
N50_Attack,Attack,50,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
N50_Attack_W_sweep,Attack,50,479.0,475.0,4.0,4.0,4.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
N50_Attack_bloom,Attack,50,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
N50_Attack_bloom_mk,Attack,50,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
N50_Attack_sbf,Attack,50,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
N50_Attack_sbf_sweep,Attack,50,6022.0,498.0,5524.0,4.0,3.0,4.0,0.0,498.0,0.0010000062203233,48.0,5000.0,10.040161,49.8
N50_NoSec,NoSec,50,474.0,474.0,0.0,0.0,0.0,0.0,2630.0,474.0,-2.8029113924051e-09,0.0,2370.0,5.0,47.4
N50_Secure,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
N50_Secure_W_sweep,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
N50_Secure_bloom,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
N50_Secure_bloom_mk,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
N50_Secure_dupOnly,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
N50_Secure_dupOnly_bloom,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
