config,rep,GW_Received,GW_Forwarded,GW_Dropped,GW_Dropped_HMAC,GW_Dropped_Stale,GW_Dropped_Duplicate,Cloud_TotalReceived,Cloud_AvgDelay_s,mean_EndToEndDelay_s,GW_BatteryRemaining_mJ,Sensor_EnergyRemaining_mJ,run,Fake_AttacksSent
Attack20_record,0,192.0,189.0,3.0,3.0,3.0,3.0,189.0,0.0010000215812011,0.0010000215812010582,3095.0,4811.0,Attack20_record-0-20250829-01:43:58-80151,3.0
Attack20_record,0,194.0,190.0,4.0,4.0,4.0,4.0,190.0,0.0009999898637631,0.000999989863763158,3080.0,4810.0,Attack20_record-0-20250829-01:43:59-80235,4.0
Attack20_record,0,197.0,194.0,3.0,3.0,3.0,3.0,194.0,0.0009999899407113,0.0009999899407113402,3045.0,4806.0,Attack20_record-0-20250829-01:43:59-80319,3.0
Attack50_record,0,471.0,468.0,3.0,3.0,2.0,3.0,468.0,0.0010000039831197,0.0010000039831196581,305.0,4812.8,Attack50_record-0-20250829-01:43:59-80403,3.0
Attack50_record,0,478.0,475.0,3.0,3.0,2.0,3.0,475.0,0.0009999879764757,0.0009999879764757895,235.0,4810.0,Attack50_record-0-20250829-01:43:59-80487,3.0
Attack50_record,0,480.0,477.0,3.0,3.0,2.0,3.0,477.0,0.0009999990661635,0.000999999066163522,215.0,4809.2,Attack50_record-0-20250829-01:44:00-80571,3.0
Attack50_window3s_record,0,471.0,468.0,3.0,3.0,2.0,3.0,468.0,0.0010000039831197,0.0010000039831196581,305.0,4812.8,Attack50_window3s_record-0-20250829-01:44:00-80921,3.0
Attack50_window3s_record,0,478.0,475.0,3.0,3.0,2.0,3.0,475.0,0.0009999879764757,0.0009999879764757895,235.0,4810.0,Attack50_window3s_record-0-20250829-01:44:01-81005,3.0
Attack50_window3s_record,0,480.0,477.0,3.0,3.0,2.0,3.0,477.0,0.0009999990661635,0.000999999066163522,215.0,4809.2,Attack50_window3s_record-0-20250829-01:44:01-81090,3.0
Attack5_record,0,48.0,45.0,3.0,3.0,3.0,3.0,45.0,0.0009999852981111,0.0009999852981111112,4535.0,4820.0,Attack5_record-0-20250829-01:43:58-79885,3.0
Attack5_record,0,50.0,46.0,4.0,4.0,4.0,4.0,46.0,0.0010000310742826,0.0010000310742826087,4520.0,4816.0,Attack5_record-0-20250829-01:43:58-79969,4.0
Attack5_record,0,51.0,48.0,3.0,3.0,3.0,3.0,48.0,0.0009999366785625,0.0009999366785625001,4505.0,4808.0,Attack5_record-0-20250829-01:43:58-80067,3.0
AttackOnNoSec50_record,0,471.0,471.0,0.0,0.0,0.0,0.0,471.0,0.029553641008648,0.029553641008647557,2645.0,4812.8,AttackOnNoSec50_record-0-20250829-01:44:00-80655,3.0
AttackOnNoSec50_record,0,478.0,478.0,0.0,0.0,0.0,0.0,478.0,0.030719276737157,0.0307192767371569,2610.0,4810.0,AttackOnNoSec50_record-0-20250829-01:44:00-80739,3.0
AttackOnNoSec50_record,0,480.0,480.0,0.0,0.0,0.0,0.0,480.0,0.028729657247144,0.028729657247143752,2600.0,4809.2,AttackOnNoSec50_record-0-20250829-01:44:00-80823,3.0
NoSec20_record,0,188.0,188.0,0.0,0.0,0.0,0.0,188.0,-1.3975079787234e-08,-1.397507978723404e-08,4060.0,4812.0,NoSec20_record-0-20250829-01:43:57-79381,0.0
NoSec20_record,0,191.0,191.0,0.0,0.0,0.0,0.0,191.0,-2.6712926701571e-08,-2.6712926701570687e-08,4045.0,4809.0,NoSec20_record-0-20250829-01:43:57-79465,0.0
NoSec20_record,0,191.0,191.0,0.0,0.0,0.0,0.0,191.0,-2.099119895288e-08,-2.0991198952879577e-08,4045.0,4809.0,NoSec20_record-0-20250829-01:43:57-79549,0.0
NoSec50_record,0,468.0,468.0,0.0,0.0,0.0,0.0,468.0,-1.5188151709402e-08,-1.5188151709401712e-08,2660.0,4812.8,NoSec50_record-0-20250829-01:43:57-79633,0.0
NoSec50_record,0,475.0,475.0,0.0,0.0,0.0,0.0,475.0,-4.4814374736842e-08,-4.4814374736842114e-08,2625.0,4810.0,NoSec50_record-0-20250829-01:43:58-79717,0.0
NoSec50_record,0,478.0,478.0,0.0,0.0,0.0,0.0,478.0,-2.5241286610879e-08,-2.5241286610878662e-08,2610.0,4808.8,NoSec50_record-0-20250829-01:43:58-79801,0.0
NoSec5_record,0,45.0,45.0,0.0,0.0,0.0,0.0,45.0,-2.4053777777778e-09,-2.405377777777784e-09,4775.0,4820.0,NoSec5_record-0-20250829-01:43:56-79129,0.0
NoSec5_record,0,47.0,47.0,0.0,0.0,0.0,0.0,47.0,3.0507234042553e-08,3.050723404255318e-08,4765.0,4812.0,NoSec5_record-0-20250829-01:43:56-79213,0.0
NoSec5_record,0,49.0,49.0,0.0,0.0,0.0,0.0,49.0,1.0939428571429e-08,1.0939428571428577e-08,4755.0,4804.0,NoSec5_record-0-20250829-01:43:57-79297,0.0
Secure20_record,0,188.0,188.0,0.0,0.0,0.0,0.0,188.0,0.0009999860249202,0.0009999860249202128,3120.0,4812.0,Secure20_record-0-20250829-01:43:55-78610,0.0
Secure20_record,0,191.0,191.0,0.0,0.0,0.0,0.0,191.0,0.0009999732870733,0.0009999732870732984,3090.0,4809.0,Secure20_record-0-20250829-01:43:55-78694,0.0
Secure20_record,0,191.0,191.0,0.0,0.0,0.0,0.0,191.0,0.000999979008801,0.000999979008801047,3090.0,4809.0,Secure20_record-0-20250829-01:43:55-78778,0.0
Secure50_record,0,468.0,468.0,0.0,0.0,0.0,0.0,468.0,0.0009999848118482,0.0009999848118482906,320.0,4812.8,Secure50_record-0-20250829-01:43:56-78862,0.0
Secure50_record,0,475.0,475.0,0.0,0.0,0.0,0.0,475.0,0.0009999551856252,0.0009999551856252633,250.0,4810.0,Secure50_record-0-20250829-01:43:56-78947,0.0
Secure50_record,0,478.0,478.0,0.0,0.0,0.0,0.0,478.0,0.0009999747587133,0.000999974758713389,220.0,4808.8,Secure50_record-0-20250829-01:43:56-79031,0.0
Secure5_record,0,45.0,45.0,0.0,0.0,0.0,0.0,45.0,0.0009999975946222,0.0009999975946222222,4550.0,4820.0,Secure5_record-0-20250829-01:43:54-78355,0.0
Secure5_record,0,47.0,47.0,0.0,0.0,0.0,0.0,47.0,0.001000030507234,0.0010000305072340424,4530.0,4812.0,Secure5_record-0-20250829-01:43:55-78439,0.0
Secure5_record,0,49.0,49.0,0.0,0.0,0.0,0.0,49.0,0.0010000109394286,0.0010000109394285716,4510.0,4804.0,Secure5_record-0-20250829-01:43:55-78526,0.0
