config,scenario,N,GW_Received,GW_Forwarded,GW_Dropped,GW_Dropped_HMAC,GW_Dropped_Stale,GW_Dropped_Duplicate,GW_BatteryRemaining_mJ,Cloud_TotalReceived,Cloud_AvgDelay_s,Fake_AttacksSent,energyGW_mJ,energyPerMsg_mJ,goodput_msgs_per_s
Attack20_bloom,Attack,,193.0,189.0,4.0,4.0,4.0,4.0,3090.0,189.0,0.001000030939619,4.0,1910.0,10.10582,18.9
Attack20_record,Attack,,193.0,189.0,4.0,4.0,4.0,4.0,3090.0,189.0,0.001000030939619,4.0,1910.0,10.10582,18.9
Attack20_sbf,Attack,,193.0,189.0,4.0,4.0,4.0,4.0,3090.0,189.0,0.001000030939619,4.0,1910.0,10.10582,18.9
Attack50_bloom,Attack,,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_record,Attack,,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_sbf,Attack,,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_window05s_record,Attack,,479.0,475.0,4.0,4.0,4.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_window1s_record,Attack,,479.0,475.0,4.0,4.0,4.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_window3s_record,Attack,,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Attack50_window5s_record,Attack,,479.0,475.0,4.0,4.0,2.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
