config,scenario,N,seed,gatewayEnergy_J,energyPerValidMsg_J,count_valid
Attack5_record,Attack,5,101,990.0,10.76086956521739,92
Attack5_record,Attack,5,102,1025.0,10.904255319148936,94
Attack5_record,Attack,5,103,1035.0,11.01063829787234,94
Attack5_record,Attack,5,104,1025.0,10.789473684210526,95
Attack5_record,Attack,5,105,1020.0,10.736842105263158,95
NoSec5_record,NoSec,5,101,455.0,5.0,91
NoSec5_record,NoSec,5,102,470.0,5.0,94
NoSec5_record,NoSec,5,103,470.0,5.0,94
NoSec5_record,NoSec,5,104,475.0,5.0,95
NoSec5_record,NoSec,5,105,460.0,5.0,92
Secure5_record,Secure,5,101,910.0,10.0,91
Secure5_record,Secure,5,102,940.0,10.0,94
Secure5_record,Secure,5,103,940.0,10.0,94
Secure5_record,Secure,5,104,950.0,10.0,95
Secure5_record,Secure,5,105,920.0,10.0,92
Attack20_record,Attack,20,101,3770.0,10.18918918918919,370
Attack20_record,Attack,20,102,3790.0,10.188172043010752,372
Attack20_record,Attack,20,103,3810.0,10.214477211796247,373
Attack20_record,Attack,20,104,3810.0,10.18716577540107,374
Attack20_record,Attack,20,105,3770.0,10.18918918918919,370
NoSec20_record,NoSec,20,101,1845.0,5.0,369
NoSec20_record,NoSec,20,102,1860.0,5.0,372
NoSec20_record,NoSec,20,103,1855.0,5.0,371
NoSec20_record,NoSec,20,104,1855.0,5.0,371
NoSec20_record,NoSec,20,105,1845.0,5.0,369
Secure20_record,Secure,20,101,3690.0,10.0,369
Secure20_record,Secure,20,102,3720.0,10.0,372
Secure20_record,Secure,20,103,3710.0,10.0,371
Secure20_record,Secure,20,104,3710.0,10.0,371
Secure20_record,Secure,20,105,3690.0,10.0,369
Attack50_record,Attack,50,101,5000.0,10.080645161290322,496
Attack50_record,Attack,50,102,4995.0,10.090909090909092,495
Attack50_record,Attack,50,103,4995.0,10.090909090909092,495
Attack50_record,Attack,50,104,5000.0,10.080645161290322,496
Attack50_record,Attack,50,105,5000.0,10.080645161290322,496
NoSec50_record,NoSec,50,101,4600.0,5.0,920
NoSec50_record,NoSec,50,102,4635.0,5.0,927
NoSec50_record,NoSec,50,103,4620.0,5.0,924
NoSec50_record,NoSec,50,104,4675.0,5.0,935
NoSec50_record,NoSec,50,105,4605.0,5.0,921
Secure50_record,Secure,50,101,5000.0,10.0,500
Secure50_record,Secure,50,102,5000.0,10.0,500
Secure50_record,Secure,50,103,5000.0,10.0,500
Secure50_record,Secure,50,104,5000.0,10.0,500
Secure50_record,Secure,50,105,5000.0,10.0,500
