config,scenario,N,seed,count_valid,duration_s,throughput_msg_per_s,uptime_s,throughput_active_msg_per_s
Attack5_record,Attack,5,101,92,10.0,9.2,10.0,9.2
Attack5_record,Attack,5,102,94,10.0,9.4,10.0,9.4
Attack5_record,Attack,5,103,94,10.0,9.4,10.0,9.4
Attack5_record,Attack,5,104,95,10.0,9.5,10.0,9.5
Attack5_record,Attack,5,105,95,10.0,9.5,10.0,9.5
NoSec5_record,NoSec,5,101,91,10.0,9.1,10.0,9.1
NoSec5_record,NoSec,5,102,94,10.0,9.4,10.0,9.4
NoSec5_record,NoSec,5,103,94,10.0,9.4,10.0,9.4
NoSec5_record,NoSec,5,104,95,10.0,9.5,10.0,9.5
NoSec5_record,NoSec,5,105,92,10.0,9.2,10.0,9.2
Secure5_record,Secure,5,101,91,10.0,9.1,10.0,9.1
Secure5_record,Secure,5,102,94,10.0,9.4,10.0,9.4
Secure5_record,Secure,5,103,94,10.0,9.4,10.0,9.4
Secure5_record,Secure,5,104,95,10.0,9.5,10.0,9.5
Secure5_record,Secure,5,105,92,10.0,9.2,10.0,9.2
Attack20_record,Attack,20,101,370,10.0,37.0,10.0,37.0
Attack20_record,Attack,20,102,372,10.0,37.2,10.0,37.2
Attack20_record,Attack,20,103,373,10.0,37.3,10.0,37.3
Attack20_record,Attack,20,104,374,10.0,37.4,10.0,37.4
Attack20_record,Attack,20,105,370,10.0,37.0,10.0,37.0
NoSec20_record,NoSec,20,101,369,10.0,36.9,10.0,36.9
NoSec20_record,NoSec,20,102,372,10.0,37.2,10.0,37.2
NoSec20_record,NoSec,20,103,371,10.0,37.1,10.0,37.1
NoSec20_record,NoSec,20,104,371,10.0,37.1,10.0,37.1
NoSec20_record,NoSec,20,105,369,10.0,36.9,10.0,36.9
Secure20_record,Secure,20,101,369,10.0,36.9,10.0,36.9
Secure20_record,Secure,20,102,372,10.0,37.2,10.0,37.2
Secure20_record,Secure,20,103,371,10.0,37.1,10.0,37.1
Secure20_record,Secure,20,104,371,10.0,37.1,10.0,37.1
Secure20_record,Secure,20,105,369,10.0,36.9,10.0,36.9
Attack50_record,Attack,50,101,496,10.0,49.6,10.0,49.6
Attack50_record,Attack,50,102,495,10.0,49.5,10.0,49.5
Attack50_record,Attack,50,103,495,10.0,49.5,10.0,49.5
Attack50_record,Attack,50,104,496,10.0,49.6,10.0,49.6
Attack50_record,Attack,50,105,496,10.0,49.6,10.0,49.6
NoSec50_record,NoSec,50,101,920,10.0,92.0,10.0,92.0
NoSec50_record,NoSec,50,102,927,10.0,92.7,10.0,92.7
NoSec50_record,NoSec,50,103,924,10.0,92.4,10.0,92.4
NoSec50_record,NoSec,50,104,935,10.0,93.5,10.0,93.5
NoSec50_record,NoSec,50,105,921,10.0,92.1,10.0,92.1
Secure50_record,Secure,50,101,500,10.0,50.0,10.0,50.0
Secure50_record,Secure,50,102,500,10.0,50.0,10.0,50.0
Secure50_record,Secure,50,103,500,10.0,50.0,10.0,50.0
Secure50_record,Secure,50,104,500,10.0,50.0,10.0,50.0
Secure50_record,Secure,50,105,500,10.0,50.0,10.0,50.0
